time,voltage,current
1,0.6333956,0.01998304
121,0.6481827,0.01999375
241,0.6477854,0.01999578
361,0.6475408,0.01999324
481,0.6421994,0.01999337
601,0.6501411,0.01999601
721,0.6519853,0.01999641
841,0.6534634,0.01999364
961,0.6543915,0.01999055
1081,0.6560429,0.01999534
1201,0.6574632,0.01999623
1321,0.6583971,0.01999561
1441,0.6593155,0.01999773
1561,0.6610479,0.01999268
1681,0.6624184,0.01999297
1801,0.6639061,0.01999744
1921,0.6652063,0.01999203
2041,0.6658126,0.01999572
2161,0.6671706,0.01999404
2281,0.6687694,0.01999538
2401,0.6698946,0.01999532
2521,0.6696886,0.01999722
2641,0.6699918,0.01999473
2761,0.6717174,0.01999556
2881,0.6735928,0.01999254
3001,0.674887,0.0199942
3121,0.6768425,0.01999297
3241,0.6767386,0.01999538
3361,0.6798734,0.01999462
3481,0.6811253,0.01999565
3601,0.6827873,0.01999493
3721,0.6842298,0.0199946
3841,0.6851066,0.01999411
3961,0.6862267,0.01999386
4081,0.6865291,0.01999288
4201,0.6891376,0.01999697
4321,0.6916356,0.01999525
4441,0.6908625,0.01999605
4561,0.692571,0.01999033
4681,0.694001,0.01999605
4801,0.6954849,0.01999303
4921,0.6967636,0.01999471
5041,0.6985344,0.0199969
5161,0.6982232,0.01999471
5281,0.7014387,0.01999234
5401,0.7023586,0.01999006
5521,0.7037677,0.01999377
5641,0.7037395,0.01999454
5761,0.7062584,0.01999279
5881,0.7062657,0.0199919
6001,0.7086349,0.01999578
6121,0.709694,0.01999482
6241,0.7126999,0.01999239
6361,0.7123678,0.01999355
6481,0.7149688,0.01999406
6601,0.7158858,0.01999252
6721,0.7164002,0.01999243
6841,0.7192482,0.01999364
6961,0.7197908,0.01999382
7081,0.7202525,0.01999201
7201,0.7224259,0.01999373
7321,0.7257698,0.01999292
7441,0.7253301,0.01999263
7561,0.7277771,0.01999044
7681,0.7289186,0.01999507
7801,0.7295805,0.01999265
7921,0.7317902,0.0199916
8041,0.7340518,0.01998975
8161,0.7362748,0.01999033
8281,0.7348116,0.01999422
8401,0.7390108,0.01999141
8521,0.7396794,0.01999297
8641,0.7401457,0.01998953
8761,0.74313,0.01999558
8881,0.7450662,0.01999029
9001,0.745459,0.01999433
9121,0.7494277,0.01999216
9241,0.7500238,0.01999404
9361,0.752584,0.01999502
9481,0.7542489,0.01999263
9601,0.7566351,0.01999465
9721,0.7599226,0.01999413
9841,0.7601553,0.01999543
9961,0.7634791,0.01999286
10081,0.7654287,0.01999455
10201,0.7670906,0.01999449
10321,0.7679786,0.0199961
10441,0.7681943,0.0199938
10561,0.7728977,0.0199973
10681,0.7754847,0.01999485
10801,0.7783296,0.01999623
10921,0.7813977,0.01999454
11041,0.7839736,0.01999574
11161,0.7845333,0.01999368
11281,0.7864628,0.0199923
11401,0.7912647,0.01999194
11521,0.7930156,0.01999426
11641,0.7958636,0.01999465
11761,0.8005854,0.01999552
11881,0.8042843,0.01999395
12001,0.8064044,0.01999239
12121,0.8086645,0.01999319
12241,0.8124102,0.01999131
12361,0.816384,0.01999614
12481,0.8184174,0.01999413
12601,0.8220726,0.01999444
12721,0.8288278,0.01999489
12841,0.8345608,0.01999659
12961,0.842319,0.01999315
13081,0.8465071,0.01999292
13201,0.8513669,0.0199927
13321,0.8576633,0.0199927
13441,0.8690464,0.01999451
13561,0.8789394,0.01999154
13681,0.8907065,0.01999462
13801,0.5349451,-0.01999511
13921,0.5299301,-0.01999469
14041,0.5282601,-0.01999426
14161,0.5251893,-0.01999315
14281,0.523077,-0.01999592
14401,0.5192835,-0.0199973
14521,0.5184689,-0.01999668
14641,0.5172318,-0.01999429
14761,0.5165677,-0.0199971
14881,0.5115868,-0.01999574
15001,0.5109538,-0.01999806
15121,0.5095997,-0.01999321
15241,0.5075547,-0.01999333
15361,0.5058767,-0.01999659
15481,0.5043424,-0.01999353
15601,0.5030875,-0.01999724
15721,0.4995794,-0.01999476
15841,0.4985046,-0.01999426
15961,0.4986892,-0.01999275
16081,0.4960513,-0.01999252
16201,0.4941835,-0.01999739
16321,0.490479,-0.01999315
16441,0.4901209,-0.01999473
16561,0.4881917,-0.01999281
16681,0.4883643,-0.01999435
16801,0.4853899,-0.01999136
16921,0.4865736,-0.0199919
17041,0.4841077,-0.01999163
17161,0.4815313,-0.01999507
17281,0.4804491,-0.01999089
17401,0.4785746,-0.01999176
17521,0.4777652,-0.01999163
17641,0.4767179,-0.01999462
17761,0.4762258,-0.01999469
17881,0.4740704,-0.01999668
18001,0.4722567,-0.01999404
18121,0.47107,-0.01999339
18241,0.4695491,-0.01999534
18361,0.4667978,-0.01999426
18481,0.4648736,-0.01999134
18601,0.4658076,-0.01999426
18721,0.4628368,-0.01999442
18841,0.4610046,-0.01999315
18961,0.4590983,-0.01999368
19081,0.4586261,-0.01999355
19201,0.4557703,-0.01999145
19321,0.4554783,-0.01999306
19441,0.4542227,-0.01999328
