Time (s),Stack (T),Pad (T),Electrolyte (T),Stack (V) /STM32,Cath in P,Cath out P,Stack (V),Time (m),Stack (V)
1669990434,37,39,38,1919,855,850,1.985,40.66666667,1.985
1669990438,37,39,38,1628,1072,1110,1.986,40.73333333,1.986
1669990442,37,39,38,1889,604,606,1.987,40.8,1.987
1669990446,37,39,38,1907,756,759,1.989,40.86666667,1.989
1669990450,37,39,38,1917,840,869,1.992,40.93333333,1.992
1669990454,37,39,38,1625,1022,1060,1.993,41,1.993
1669990458,37,39,38,1917,842,885,1.994,41.06666667,1.994
1669990462,37,39,38,1945,1446,1429,1.997,41.13333333,1.997
1669990466,37,39,38,979,17,44,1.999,41.2,1.999
1669990470,37,39,38,1905,748,751,2.002,41.26666667,2.002
1669990474,37,39,38,1882,83,73,2.003,41.33333333,2.003
1669990478,37,39,38,1949,1730,1781,2.006,41.4,2.006
1669990482,37,39,38,1599,646,665,2.007,41.46666667,2.007
1669990486,37,39,38,979,7,12,2.01,41.53333333,2.01
1669990490,37,39,38,1948,1746,1774,2.011,41.6,2.011
1669990494,37,39,38,1004,0,22,2.014,41.66666667,2.014
1669990498,37,39,38,953,15,29,2.017,41.73333333,2.017
1669990502,37,39,38,1944,1367,1378,2.019,41.8,2.019
1669990506,37,39,38,1943,1303,1320,2.021,41.86666667,2.021
1669990510,37,39,38,1599,662,678,2.024,41.93333333,2.024
1669990514,37,39,38,1595,551,566,2.027,42,2.027
1669990518,37,39,38,1907,757,780,2.028,42.06666667,2.028
1669990522,37,39,38,1921,888,910,2.031,42.13333333,2.031
1669990526,37,39,38,1618,945,968,2.034,42.2,2.034
1669990534,37,39,38,1939,1096,1137,2.04,42.33333333,2.04
1669990538,37,39,38,1494,276,307,2.043,42.4,2.043
1669990542,37,39,38,1082,19,24,2.047,42.46666667,2.047
1669990546,37,39,38,1944,1365,1394,2.05,42.53333333,2.05
1669990550,37,39,38,1947,1757,1803,2.053,42.6,2.053
1669990554,37,39,38,966,44,50,2.057,42.66666667,2.057
1669990558,37,39,38,1185,285,269,2.06,42.73333333,2.06
1669990562,37,39,38,1929,1753,1772,2.064,42.8,2.064
1669990566,37,39,38,953,19,59,2.068,42.86666667,2.068
1669990570,37,39,38,979,153,153,2.072,42.93333333,2.072
1669990574,38,39,38,1948,1757,1799,2.077,43,2.077
1669990578,37,39,38,1917,1747,1772,2.081,43.06666667,2.081
1669990582,37,39,38,953,74,113,2.087,43.13333333,2.087
1669990586,38,39,38,1948,1753,1810,2.092,43.2,2.092
1669990590,37,39,38,1744,1615,1636,2.098,43.26666667,2.098
1669990594,37,39,38,1236,284,282,2.104,43.33333333,2.104
1669990598,38,39,38,1890,605,607,2.111,43.4,2.111
1669990602,37,39,38,1621,988,1011,2.118,43.46666667,2.118
1669990606,37,39,38,1934,27,62,2.125,43.53333333,2.125
1669990610,37,39,38,1946,1625,1640,2.133,43.6,2.133
1669990614,37,39,38,1697,1560,1581,2.143,43.66666667,2.143
1669990618,37,39,38,1855,531,562,2.155,43.73333333,2.155
1669990622,37,39,38,1784,1620,1659,2.167,43.8,2.167
1669990626,37,39,38,1915,1730,1752,2.182,43.86666667,2.182
1669990630,37,39,38,1946,1687,1676,2.2,43.93333333,2.2
1669990634,38,39,38,1602,693,688,2.224,44,2.224
1669990638,37,39,38,1340,294,352,2.258,44.06666667,2.258
1669990642,37,39,38,1417,403,361,2.313,44.13333333,2.313
1669990646,38,39,38,1858,1760,1744,2.42,44.2,2.42
1669990650,37,39,38,1631,1137,1155,2.567,44.26666667,2.567
1669990654,37,39,38,1927,945,985,2.159,44.33333333,2.159
1669990658,37,39,38,1520,362,377,1.945,44.4,1.945
1669990662,37,39,38,1185,258,253,1.888,44.46666667,1.888
1669990666,37,39,38,1677,1553,1559,1.857,44.53333333,1.857
1669990670,38,39,38,1620,975,1007,1.834,44.6,1.834
1669990674,37,39,38,1881,550,564,1.819,44.66666667,1.819
1669990678,37,39,38,1880,556,566,1.806,44.73333333,1.806
1669990682,37,39,38,1950,1722,1757,1.796,44.8,1.796
1669990686,38,39,38,1948,1498,1587,1.787,44.86666667,1.787
1669990690,37,39,38,1594,519,545,1.78,44.93333333,1.78
1669990694,38,39,38,1598,597,595,1.773,45,1.773
1669990698,37,39,38,1855,519,540,1.768,45.06666667,1.768
1669990702,37,39,38,1417,379,369,1.762,45.13333333,1.762
1669990706,38,39,38,1947,1596,1618,1.758,45.2,1.758
1669990710,37,39,38,1595,556,581,1.752,45.26666667,1.752
1669990714,37,39,38,1607,797,817,1.748,45.33333333,1.748
1669990718,38,39,38,1888,573,596,1.744,45.4,1.744
1669990722,37,39,38,1918,853,1033,1.739,45.46666667,1.739
1669990726,37,39,38,1602,727,726,1.736,45.53333333,1.736
1669990730,37,39,38,1030,0,8,1.732,45.6,1.732
1669990734,38,39,38,1950,1754,1781,1.729,45.66666667,1.729
1669990738,37,39,38,1185,282,281,1.725,45.73333333,1.725
1669990742,38,39,38,1926,926,999,1.722,45.8,1.722
1669990746,37,39,38,1494,300,323,1.719,45.86666667,1.719
1669990750,37,39,38,1017,14,12,1.717,45.93333333,1.717
1669990754,38,39,38,1950,1708,1739,1.714,46,1.714
1669990758,37,39,38,1643,1330,1407,1.711,46.06666667,1.711
1669990762,37,39,38,1888,605,604,1.708,46.13333333,1.708
1669990766,37,39,38,1907,726,743,1.705,46.2,1.705
1669990770,37,39,38,1853,1724,1742,1.704,46.26666667,1.704
1669990774,37,39,38,2063,8,28,1.701,46.33333333,1.701
1669990778,38,39,38,1618,962,971,1.698,46.4,1.698
1669990782,37,39,38,1030,12,16,1.695,46.46666667,1.695
1669990786,37,39,38,1599,630,704,1.694,46.53333333,1.694
1669990790,37,39,38,1378,356,350,1.691,46.6,1.691
1669990794,37,39,38,1224,265,285,1.688,46.66666667,1.688
1669990798,37,39,38,1950,1763,1784,1.687,46.73333333,1.687
1669990802,38,39,38,1643,1274,1321,1.684,46.8,1.684
1669990806,37,39,38,1939,1068,1112,1.683,46.86666667,1.683
1669990810,37,39,38,1913,1770,1780,1.68,46.93333333,1.68
1669990814,38,39,38,1909,756,780,1.678,47,1.678
1669990818,37,39,38,1443,267,256,1.675,47.06666667,1.675
1669990822,37,39,38,1030,106,158,1.674,47.13333333,1.674
1669990826,38,39,38,1634,1177,1195,1.671,47.2,1.671
1669990830,37,39,38,1030,0,8,1.67,47.26666667,1.67
1669990834,37,39,38,1947,1652,1694,1.668,47.33333333,1.668
1669990838,38,39,38,1959,44,58,1.666,47.4,1.666
1669990842,37,39,38,1779,207,203,1.664,47.46666667,1.664
1669990846,37,39,38,1892,623,631,1.663,47.53333333,1.663
1669990850,37,39,38,1314,260,276,1.66,47.6,1.66
1669990854,37,39,38,1948,1578,1633,1.658,47.66666667,1.658
1669990858,37,39,38,1949,1554,1563,1.657,47.73333333,1.657
1669990862,37,39,38,1593,508,487,1.654,47.8,1.654
1669990866,37,39,38,1594,484,554,1.653,47.86666667,1.653
1669990870,37,39,38,1910,795,809,1.651,47.93333333,1.651
1669990874,38,39,38,1930,946,972,1.65,48,1.65
1669990878,37,39,38,1597,593,598,1.647,48.06666667,1.647
1669990882,37,39,38,1943,1141,1175,1.646,48.13333333,1.646
1669990886,37,39,38,1950,1803,1783,1.644,48.2,1.644
1669990890,37,39,38,1601,686,701,1.643,48.26666667,1.643
1669990894,37,39,38,1946,1408,1440,1.641,48.33333333,1.641
1669990898,38,39,38,966,33,115,1.64,48.4,1.64
1669990902,37,39,38,1891,617,623,1.637,48.46666667,1.637
1669990906,37,39,38,1614,886,892,1.636,48.53333333,1.636
1669990910,37,39,38,1856,124,87,1.634,48.6,1.634
1669990914,37,39,38,1935,1028,1110,1.633,48.66666667,1.633
1669990918,37,39,38,1918,876,885,1.632,48.73333333,1.632
1669990922,38,39,38,1949,1710,1750,1.63,48.8,1.63
1669990926,37,39,38,1593,521,537,1.629,48.86666667,1.629
1669990930,37,39,38,1619,975,980,1.627,48.93333333,1.627
1669990934,37,39,38,1365,336,339,1.624,49,1.624
1669990938,37,39,38,1855,553,561,1.623,49.06666667,1.623
1669990942,37,39,38,1714,1672,1635,1.622,49.13333333,1.622
1669990946,38,39,38,1614,909,934,1.62,49.2,1.62
1669990950,37,39,38,1921,903,914,1.619,49.26666667,1.619
1669990954,37,39,38,1598,656,662,1.617,49.33333333,1.617
1669990958,38,39,38,2088,0,0,1.616,49.4,1.616
1669990962,37,39,38,966,126,129,1.615,49.46666667,1.615
1669990966,37,39,38,1941,1778,1789,1.613,49.53333333,1.613
1669990970,38,39,38,1340,338,355,1.612,49.6,1.612
1669990974,37,39,38,1930,985,978,1.61,49.66666667,1.61
1669990978,37,39,38,1443,261,267,1.609,49.73333333,1.609
1669990982,37,39,38,979,36,41,1.607,49.8,1.607
1669990986,37,39,38,1860,1727,1760,1.606,49.86666667,1.606
1669990990,37,39,38,1591,498,490,1.603,49.93333333,1.603
1669990994,37,39,38,1947,1469,1494,1.602,50,1.602
1669990998,37,39,38,1004,0,34,1.6,50.06666667,1.6
1669991002,37,39,38,1082,247,221,1.599,50.13333333,1.599
1669991006,38,39,38,1950,1679,1809,1.598,50.2,1.598
1669991010,37,39,38,1950,1780,1805,1.596,50.26666667,1.596
1669991014,37,39,38,1908,60,61,1.595,50.33333333,1.595
1669991018,37,39,38,1921,860,920,1.592,50.4,1.592
1669991022,37,39,38,1911,780,801,1.59,50.46666667,1.59
1669991026,37,39,38,1898,694,711,1.589,50.53333333,1.589
1669991030,37,39,38,1950,1773,1802,1.586,50.6,1.586
1669991034,37,39,38,1030,5,20,1.585,50.66666667,1.585
1669991038,37,39,38,1017,12,7,1.582,50.73333333,1.582
1669991042,37,39,38,1946,1362,1373,1.581,50.8,1.581
1669991046,37,39,38,1947,1643,1664,1.578,50.86666667,1.578
1669991050,37,39,38,1017,4,0,1.575,50.93333333,1.575
1669991054,37,39,38,1030,182,191,1.572,51,1.572
1669991058,37,39,38,1755,1632,1660,1.569,51.06666667,1.569
1669991062,37,39,38,1926,1087,1124,1.565,51.13333333,1.565
1669991066,37,39,38,1947,1788,1784,1.561,51.2,1.561
1669991070,37,39,38,1933,1082,1036,1.556,51.26666667,1.556
1669991074,37,39,38,1747,1578,1714,1.551,51.33333333,1.551
1669991078,38,39,38,1945,1300,1322,1.542,51.4,1.542
1669991082,37,39,38,1198,300,286,1.534,51.46666667,1.534
1669991086,37,39,38,1944,1320,1378,1.521,51.53333333,1.521
1669991090,37,39,38,1950,1704,1784,1.501,51.6,1.501
1669991094,37,39,38,953,186,203,1.466,51.66666667,1.466
1669991098,37,39,38,953,155,152,1.393,51.73333333,1.393
1669991102,37,39,38,1944,1253,1266,1.178,51.8,1.178
1669991106,37,39,38,1911,813,794,1.131,51.86666667,1.131
1669991110,37,39,38,1950,1942,2033,1.113,51.93333333,1.113
1669991114,37,39,38,1494,289,340,1.1,52,1.1
1669991118,37,39,38,1588,456,472,1.09,52.06666667,1.09
1669991122,37,39,38,1941,1260,1272,1.08,52.13333333,1.08
1669991126,38,39,38,1884,1796,1763,1.07,52.2,1.07
1669991130,37,39,38,1944,1236,1244,1.059,52.26666667,1.059
1669991134,37,39,38,1598,559,531,1.04,52.33333333,1.04
1669991138,37,39,38,1948,1735,1780,1.005,52.4,1.005
1669991142,37,39,38,1610,876,873,0.971,52.46666667,0.971
1669991146,38,39,38,966,83,96,1.666,52.53333333,1.666
1669991150,37,39,38,979,25,5,1.814,52.6,1.814
1669991154,37,39,38,1494,381,448,1.833,52.66666667,1.833
1669991158,37,39,38,1632,1257,1271,1.848,52.73333333,1.848
1669991162,38,39,38,1818,145,156,1.864,52.8,1.864
1669991166,37,39,38,1946,1584,1607,1.875,52.86666667,1.875
1669991170,37,39,38,966,111,95,1.885,52.93333333,1.885
1669991174,37,39,38,1546,441,435,1.892,53,1.892
1669991178,37,39,38,1921,903,967,1.898,53.06666667,1.898
1669991182,37,39,38,1596,664,660,1.902,53.13333333,1.902
1669991186,38,39,38,1938,1095,1108,1.905,53.2,1.905
1669991190,37,39,38,1946,1588,1647,1.907,53.26666667,1.907
1669991194,37,39,38,953,161,100,1.909,53.33333333,1.909
1669991198,37,39,38,2063,531,491,1.911,53.4,1.911
1669991202,37,39,38,1652,1446,1462,1.912,53.46666667,1.912
1669991206,37,39,38,1391,479,491,1.914,53.53333333,1.914
1669991210,38,39,38,1752,503,498,1.915,53.6,1.915
1669991214,37,39,38,1854,1749,1771,1.915,53.66666667,1.915
1669991218,37,39,38,1677,1562,1573,1.916,53.73333333,1.916
1669991222,38,39,38,1391,364,396,1.916,53.8,1.916
1669991226,37,39,38,1912,848,811,1.918,53.86666667,1.918
1669991230,37,39,38,1587,444,437,1.918,53.93333333,1.918
1669991234,38,39,38,979,91,97,1.919,54,1.919
1669991238,37,39,38,1646,1382,1398,1.919,54.06666667,1.919
1669991242,37,39,38,2088,78,66,1.921,54.13333333,1.921
1669991246,37,39,38,1896,1732,1743,1.921,54.2,1.921
1669991250,37,39,38,1920,912,904,1.922,54.26666667,1.922
1669991254,37,39,38,1937,1883,1920,1.924,54.33333333,1.924
1669991258,37,39,38,1443,313,296,1.924,54.4,1.924
1669991262,37,39,38,1948,1706,1758,1.925,54.46666667,1.925
1669991266,37,39,38,2063,546,557,1.926,54.53333333,1.926
1669991270,0,39,0,1942,1144,1155,1.926,54.6,1.926
1669991274,37,39,38,1004,79,58,1.928,54.66666667,1.928
1669991278,37,39,38,1211,373,391,1.929,54.73333333,1.929
1669991282,37,39,38,1651,1407,1470,1.929,54.8,1.929
1669991286,37,39,38,1913,843,865,1.931,54.86666667,1.931
1669991290,38,39,38,1946,1789,1806,1.932,54.93333333,1.932
1669991294,37,39,38,1443,400,406,1.932,55,1.932
1669991298,38,39,38,1943,1321,1346,1.933,55.06666667,1.933
1669991302,37,39,38,979,0,70,1.935,55.13333333,1.935
1669991306,38,39,38,1892,637,655,1.935,55.2,1.935
1669991310,37,39,38,1622,1016,1026,1.936,55.26666667,1.936
1669991314,37,39,38,1546,402,406,1.938,55.33333333,1.938
1669991318,37,39,38,1937,1070,1082,1.939,55.4,1.939
1669991322,38,39,38,1945,1382,1407,1.939,55.46666667,1.939
1669991326,37,39,38,1030,62,74,1.941,55.53333333,1.941
1669991330,38,39,38,1946,1713,1735,1.942,55.6,1.942
1669991334,38,39,38,1647,1375,1432,1.942,55.66666667,1.942
1669991338,37,39,38,1934,1166,1149,1.943,55.73333333,1.943
1669991342,38,39,38,1900,1775,1768,1.945,55.8,1.945
1669991346,37,39,38,1926,966,963,1.946,55.86666667,1.946
1669991350,38,39,38,1918,1895,1884,1.946,55.93333333,1.946
1669991354,38,39,38,1906,742,772,1.948,56,1.948
1669991358,38,39,38,1494,338,343,1.949,56.06666667,1.949
1669991362,38,39,38,966,69,63,1.951,56.13333333,1.951
1669991366,38,39,38,1948,1748,1759,1.951,56.2,1.951
1669991370,38,39,38,1947,1764,1791,1.952,56.26666667,1.952
1669991374,38,39,38,1004,0,21,1.953,56.33333333,1.953
1669991378,38,39,38,979,37,20,1.955,56.4,1.955
1669991382,38,39,38,1946,1681,1658,1.956,56.46666667,1.956
1669991386,38,39,38,966,11,0,1.958,56.53333333,1.958
1669991390,38,39,38,1598,467,469,1.959,56.6,1.959
1669991394,38,39,38,1642,1295,1306,1.96,56.66666667,1.96
1669991398,38,39,38,1588,407,425,1.962,56.73333333,1.962
1669991402,38,39,38,1937,1059,1090,1.963,56.8,1.963
1669991406,38,39,38,1942,1258,1400,1.965,56.86666667,1.965
1669991410,38,39,38,1546,298,351,1.966,56.93333333,1.966
1669991414,38,39,38,1908,83,94,1.968,57,1.968
1669991418,38,39,38,1941,1120,1101,1.969,57.06666667,1.969
1669991422,38,39,38,1585,456,465,1.97,57.13333333,1.97
1669991426,38,39,38,1017,9,0,1.972,57.2,1.972
1669991430,38,39,38,1935,1760,1784,1.973,57.26666667,1.973
1669991438,38,39,38,1948,1788,1797,1.976,57.4,1.976
1669991442,38,39,38,1591,470,485,1.977,57.46666667,1.977
1669991446,38,39,38,1946,1544,1656,1.979,57.53333333,1.979
1669991450,38,39,38,1907,1695,1773,1.98,57.6,1.98
1669991454,38,39,38,927,153,259,1.982,57.66666667,1.982
1669991458,38,39,38,953,106,104,1.983,57.73333333,1.983
1669991462,38,39,38,1943,1247,1311,1.986,57.8,1.986
1669991466,38,39,38,1655,1494,1535,1.987,57.86666667,1.987
1669991470,38,39,38,1949,1671,1770,1.989,57.93333333,1.989
1669991474,38,39,38,1805,163,108,1.99,58,1.99
1669991478,38,39,38,1598,782,686,1.993,58.06666667,1.993
1669991482,38,39,38,1494,423,435,1.994,58.13333333,1.994
1669991486,38,39,38,1236,289,294,1.996,58.2,1.996
1669991490,38,39,38,1947,1757,1791,1.999,58.26666667,1.999
1669991494,38,39,38,1864,1875,1951,2,58.33333333,2
1669991498,38,39,38,1236,296,386,2.002,58.4,2.002
1669991502,38,39,38,1639,1285,1311,2.004,58.46666667,2.004
1669991506,38,39,38,1882,76,94,2.006,58.53333333,2.006
1669991510,38,39,38,1948,1762,1799,2.009,58.6,2.009
1669991514,38,39,38,1594,565,572,2.01,58.66666667,2.01
1669991518,38,39,38,1947,1726,1784,2.013,58.73333333,2.013
1669991522,38,39,38,1588,440,476,2.016,58.8,2.016
1669991526,38,39,38,1948,1745,1776,2.017,58.86666667,2.017
1669991530,38,39,38,1597,575,597,2.02,58.93333333,2.02
1669991534,38,39,38,1947,1772,1770,2.023,59,2.023
1669991538,38,39,38,1804,521,534,2.024,59.06666667,2.024
1669991542,38,39,38,1943,1355,1364,2.027,59.13333333,2.027
1669991546,38,39,38,979,68,73,2.03,59.2,2.03
1669991550,38,39,38,1913,826,844,2.033,59.26666667,2.033
1669991554,38,39,38,1443,284,277,2.036,59.33333333,2.036
1669991558,38,39,38,979,24,29,2.038,59.4,2.038
1669991562,38,39,38,1948,1763,1784,2.041,59.46666667,2.041
1669991566,38,39,38,1768,1588,1662,2.044,59.53333333,2.044
1669991570,38,39,38,1185,261,247,2.047,59.6,2.047
1669991574,38,39,38,1948,1754,1793,2.05,59.66666667,2.05
1669991578,38,39,38,1948,1744,1796,2.054,59.73333333,2.054
1669991582,38,39,38,1469,281,341,2.057,59.8,2.057
1669991586,38,39,38,1598,649,652,2.061,59.86666667,2.061
1669991590,38,39,38,1880,555,551,2.064,59.93333333,2.064
1669991594,38,39,38,1896,697,681,2.068,60,2.068
1669991598,38,39,38,1701,1572,1596,2.072,60.06666667,2.072
1669991602,38,39,38,1630,1083,1105,2.077,60.13333333,2.077
1669991606,38,39,38,1908,760,794,2.081,60.2,2.081
1669991610,38,39,38,1609,787,846,2.087,60.26666667,2.087
1669991614,38,39,38,1908,54,50,2.091,60.33333333,2.091
1669991618,38,39,38,1946,1610,1607,2.097,60.4,2.097
1669991622,38,39,38,1667,1515,1526,2.102,60.46666667,2.102
1669991626,38,39,38,1920,861,862,2.109,60.53333333,2.109
1669991630,38,39,38,1946,1681,1707,2.116,60.6,2.116
1669991634,38,39,38,1108,250,236,2.123,60.66666667,2.123
1669991638,38,39,38,1637,1223,1236,2.132,60.73333333,2.132
1669991642,38,39,38,1921,44,32,2.142,60.8,2.142
1669991646,38,39,39,1946,1688,1706,2.153,60.86666667,2.153
1669991650,38,39,38,1659,1495,1514,2.165,60.93333333,2.165
1669991654,38,39,39,1898,697,674,2.18,61,2.18
1669991658,38,39,39,1938,1059,1059,2.199,61.06666667,2.199
1669991662,38,39,38,1598,619,621,2.223,61.13333333,2.223
1669991666,38,39,38,1608,809,832,2.255,61.2,2.255
1669991670,38,39,39,979,36,19,2.306,61.26666667,2.306
1669991674,38,39,39,1603,749,805,2.39,61.33333333,2.39
1669991678,38,39,39,2011,17,41,2.503,61.4,2.503
1669991682,38,39,38,979,83,89,2.139,61.46666667,2.139
1669991686,38,39,39,1944,1247,1229,1.931,61.53333333,1.931
1669991690,38,39,38,1004,139,153,1.877,61.6,1.877
1669991694,38,39,39,2230,44,38,1.846,61.66666667,1.846
1669991698,38,39,39,1949,1560,1585,1.826,61.73333333,1.826
1669991702,38,39,39,1950,1721,1745,1.81,61.8,1.81
1669991706,38,39,39,1030,249,220,1.799,61.86666667,1.799
1669991710,38,39,39,1906,745,727,1.787,61.93333333,1.787
1669991714,38,39,39,1606,782,800,1.779,62,1.779
1669991718,38,39,38,1936,1027,1047,1.772,62.06666667,1.772
1669991722,38,39,38,1947,1559,1596,1.765,62.13333333,1.765
1669991726,38,39,38,966,0,65,1.759,62.2,1.759
1669991730,38,39,38,1892,616,635,1.753,62.26666667,1.753
1669991734,38,39,38,1612,889,908,1.749,62.33333333,1.749
1669991738,38,39,38,2063,36,52,1.744,62.4,1.744
1669991742,38,39,39,1947,1697,1717,1.739,62.46666667,1.739
1669991746,38,39,38,979,41,23,1.735,62.53333333,1.735
1669991750,38,39,38,1185,267,273,1.731,62.6,1.731
1669991754,38,39,38,1950,1722,1780,1.727,62.66666667,1.727
1669991758,38,39,38,1777,1612,1627,1.724,62.73333333,1.724
1669991762,38,39,38,1417,318,324,1.719,62.8,1.719
1669991766,38,39,38,1930,950,966,1.717,62.86666667,1.717
1669991770,38,39,38,2063,21,2,1.714,62.93333333,1.714
1669991774,38,39,38,1892,605,609,1.71,63,1.71
1669991778,38,39,38,1908,49,54,1.707,63.06666667,1.707
1669991782,38,39,38,1950,1732,1746,1.704,63.13333333,1.704
1669991786,38,39,38,1648,1159,1162,1.701,63.2,1.701
1669991790,38,39,38,1916,817,794,1.698,63.26666667,1.698
1669991794,38,39,38,1943,1144,1145,1.695,63.33333333,1.695
1669991798,38,39,38,1766,187,185,1.692,63.4,1.692
1669991802,38,39,38,1017,0,0,1.69,63.46666667,1.69
1669991806,38,39,38,1948,1627,1629,1.687,63.53333333,1.687
1669991810,38,39,38,1948,1747,1784,1.685,63.6,1.685
1669991814,38,39,38,979,25,23,1.683,63.66666667,1.683
1669991818,38,39,38,1946,1368,1378,1.68,63.73333333,1.68
1669991822,38,39,38,1946,1365,1386,1.678,63.8,1.678
1669991826,38,39,38,1494,273,303,1.675,63.86666667,1.675
1669991830,38,39,38,2063,3,0,1.673,63.93333333,1.673
1669991834,38,39,38,1946,1367,1385,1.671,64,1.671
1669991838,38,39,38,1950,1742,1750,1.668,64.06666667,1.668
1669991842,38,39,38,1430,337,347,1.667,64.13333333,1.667
1669991846,38,39,38,1943,1158,1157,1.664,64.2,1.664
1669991850,38,39,38,979,0,6,1.661,64.26666667,1.661
1669991854,38,39,38,1903,689,687,1.66,64.33333333,1.66
1669991858,38,39,38,1596,566,576,1.657,64.4,1.657
1669991862,38,39,38,1944,1232,1249,1.656,64.46666667,1.656
1669991866,38,39,38,1950,1746,1789,1.654,64.53333333,1.654
1669991870,38,39,38,979,53,107,1.651,64.6,1.651
1669991874,38,39,38,1056,133,215,1.649,64.66666667,1.649
1669991878,38,39,38,1949,1714,1706,1.647,64.73333333,1.647
1669991882,38,39,38,1947,1657,1658,1.646,64.8,1.646
1669991886,38,39,38,1591,493,516,1.643,64.86666667,1.643
1669991890,38,39,38,1598,587,585,1.641,64.93333333,1.641
1669991894,38,39,38,1905,748,756,1.64,65,1.64
1669991898,38,39,38,1639,1236,1253,1.637,65.06666667,1.637
1669991902,38,39,38,1591,453,478,1.636,65.13333333,1.636
1669991906,38,39,38,1943,1123,1140,1.633,65.2,1.633
1669991910,38,39,38,1949,1739,1755,1.632,65.26666667,1.632
1669991914,38,39,38,1185,239,252,1.629,65.33333333,1.629
1669991918,38,39,38,1946,1299,1306,1.627,65.4,1.627
1669991922,38,39,38,1275,315,315,1.624,65.46666667,1.624
1669991926,38,39,38,1947,1477,1523,1.623,65.53333333,1.623
1669991930,38,39,38,1494,401,410,1.62,65.6,1.62
1669991934,38,39,38,1589,429,455,1.617,65.66666667,1.617
1669991938,38,39,38,1004,172,164,1.616,65.73333333,1.616
1669991942,38,39,38,1635,1219,1236,1.613,65.8,1.613
1669991946,38,39,38,1082,21,27,1.61,65.86666667,1.61
1669991950,38,39,38,1950,1729,1776,1.607,65.93333333,1.607
1669991954,38,39,38,1641,1302,1326,1.603,66,1.603
1669991958,38,39,38,1920,880,888,1.6,66.06666667,1.6
1669991962,38,39,38,1443,228,216,1.596,66.13333333,1.596
1669991966,38,39,38,966,41,64,1.592,66.2,1.592
1669991970,38,39,38,1950,1756,1780,1.588,66.26666667,1.588
1669991974,38,39,38,1915,1761,1793,1.582,66.33333333,1.582
1669991978,38,39,38,979,13,12,1.576,66.4,1.576
1669991982,38,39,38,1945,1301,1278,1.568,66.46666667,1.568
1669991986,38,39,38,1942,1160,1120,1.558,66.53333333,1.558
1669991990,38,39,38,1942,1138,1107,1.545,66.6,1.545
1669991994,38,39,38,1601,655,681,1.527,66.66666667,1.527
1669991998,38,39,38,1901,637,656,1.494,66.73333333,1.494
1669992002,38,39,38,1915,810,820,1.434,66.8,1.434
1669992006,38,39,38,1632,1110,1121,1.297,66.86666667,1.297
1669992010,38,39,38,1598,613,615,1.167,66.93333333,1.167
1669992014,38,39,38,1931,954,950,1.144,67,1.144
1669992018,38,39,38,1947,1450,1469,1.133,67.06666667,1.133
1669992022,38,39,38,1004,0,0,1.123,67.13333333,1.123
1669992026,38,39,38,1546,381,386,1.12,67.2,1.12
1669992030,38,39,38,1623,1001,1021,1.121,67.26666667,1.121
1669992034,38,39,38,1959,0,0,1.114,67.33333333,1.114
1669992038,38,39,38,1949,1575,1577,1.107,67.4,1.107
1669992042,38,39,38,2230,0,0,1.097,67.46666667,1.097
1669992046,38,39,38,1804,502,496,1.086,67.53333333,1.086
1669992050,38,39,38,1610,852,884,1.069,67.6,1.069
1669992054,38,39,38,1004,0,0,1.039,67.66666667,1.039
1669992058,38,39,38,1783,1592,1611,1.018,67.73333333,1.018
1669992062,38,39,38,1918,816,891,0.999,67.8,0.999
1669992066,38,39,38,2063,394,394,1.691,67.86666667,1.691
1669992070,38,39,38,1617,875,864,1.846,67.93333333,1.846
1669992074,38,39,38,1944,1225,1233,1.863,68,1.863
1669992078,38,39,38,979,0,0,1.878,68.06666667,1.878
1669992082,38,39,38,1892,527,540,1.891,68.13333333,1.891
1669992086,38,39,38,1614,850,864,1.902,68.2,1.902
1669992090,38,39,38,1069,1,0,1.912,68.26666667,1.912
1669992094,38,39,38,1948,1649,1672,1.919,68.33333333,1.919
1669992098,38,39,38,1601,642,664,1.925,68.4,1.925
1669992102,38,39,38,1946,1536,1523,1.929,68.46666667,1.929
1669992106,38,39,38,1639,1196,1233,1.932,68.53333333,1.932
1669992110,38,39,38,1932,954,956,1.935,68.6,1.935
1669992114,38,39,38,1882,0,3,1.936,68.66666667,1.936
1669992118,38,39,38,966,73,172,1.939,68.73333333,1.939
1669992122,38,39,38,1837,1682,1681,1.941,68.8,1.941
1669992126,38,39,38,1602,679,698,1.942,68.86666667,1.942
1669992130,38,39,38,1942,1121,1101,1.942,68.93333333,1.942
1669992134,38,39,38,1948,1689,1759,1.943,69,1.943
1669992138,38,39,38,1069,147,146,1.945,69.06666667,1.945
1669992142,38,39,38,1912,746,735,1.945,69.13333333,1.945
1669992146,38,39,38,1603,716,693,1.946,69.2,1.946
1669992150,38,39,39,1923,1005,1040,1.948,69.26666667,1.948
1669992154,38,39,38,1938,993,1029,1.948,69.33333333,1.948
1669992158,38,39,38,1606,746,764,1.949,69.4,1.949
1669992162,38,39,38,1598,574,628,1.951,69.46666667,1.951
1669992166,38,39,38,1895,645,610,1.952,69.53333333,1.952
1669992170,38,39,38,1901,695,710,1.952,69.6,1.952
1669992174,38,39,39,1672,1613,1623,1.953,69.66666667,1.953
1669992178,38,39,38,1629,1056,1066,1.955,69.73333333,1.955
1669992182,38,39,38,1896,636,647,1.955,69.8,1.955
