TestTime,Voltage_V,Current_mA
265,0.6486377,20.00
266,0.6467194,20.00
267,0.6468410,20.00
268,0.6477008,20.00
269,0.6488305,20.00
270,0.6483234,20.00
271,0.6472605,20.00
272,0.6469284,20.00
273,0.6466512,20.00
274,0.6467461,20.00
275,0.6459678,20.00
276,0.6476045,20.00
277,0.6485236,20.00
278,0.6476252,20.00
279,0.6474073,20.00
280,0.6483353,20.00
281,0.6491196,20.00
282,0.6489372,20.00
283,0.6486095,20.00
284,0.6475236,20.00
285,0.6471241,20.00
286,0.6474844,20.00
287,0.6473613,20.00
288,0.6477875,20.00
289,0.6484101,20.00
290,0.6489120,20.00
291,0.6481337,20.00
292,0.6489357,20.00
293,0.6482345,20.00
294,0.6478238,20.00
295,0.6477757,20.00
296,0.6482286,20.00
297,0.6476830,20.00
298,0.6482463,20.00
299,0.6489372,20.00
300,0.6493863,20.00
301,0.6494871,20.00
302,0.6488913,20.00
303,0.6491047,20.00
304,0.6489565,20.00
305,0.6484910,20.00
306,0.6488712,20.00
307,0.6483582,20.00
308,0.6492025,20.00
309,0.6491684,20.00
310,0.6497659,20.00
311,0.6497414,20.00
312,0.6476156,20.00
313,0.6474406,20.00
314,0.6475185,20.00
315,0.6481411,20.00
316,0.6486095,20.00
317,0.6486354,20.00
318,0.6477215,20.00
319,0.6477645,20.00
320,0.6475363,20.00
321,0.6482753,20.00
322,0.6480477,20.00
323,0.6492485,20.00
324,0.6484895,20.00
325,0.6483427,20.00
326,0.6488053,20.00
327,0.6479365,20.00
328,0.6481945,20.00
329,0.6488542,20.00
330,0.6480284,20.00
331,0.6484309,20.00
332,0.6488527,20.00
333,0.6487934,20.00
334,0.6486110,20.00
335,0.6492270,20.00
336,0.6497066,20.00
337,0.6485888,20.00
338,0.6480076,20.00
339,0.6486451,20.00
340,0.6492144,20.00
341,0.6486191,20.00
342,0.6483812,20.00
343,0.6497362,20.00
344,0.6492411,20.00
345,0.6482071,20.00
346,0.6485524,20.00
347,0.6496302,20.00
348,0.6475333,20.00
349,0.6482256,20.00
350,0.6489120,20.00
351,0.6480996,20.00
352,0.6482671,20.00
353,0.6469617,20.00
354,0.6486733,20.00
355,0.6496058,20.00
356,0.6489046,20.00
357,0.6483872,20.00
358,0.6492944,20.00
359,0.6496844,20.00
360,0.6492418,20.00
361,0.6494034,20.00
362,0.6490321,20.00
363,0.6492218,20.00
364,0.6499045,20.00
365,0.6497481,20.00
366,0.6486332,20.00
367,0.6499408,20.00
368,0.6499764,20.00
369,0.6490068,20.00
