fitness,diffusion,ano_rate,cat_rate,resistance,conc_ano,conc_cato,offset_chrg,offset_dischrg
73.1845,0.0000000000003128531,0.7104823,0.00003753991,3.5573113,834.7162,1170.801,0.003974753,-0.13380827
73.626236,0.00000000000031519682,0.71037596,0.000037602604,3.5547602,835.13196,1173.057,0.0038188968,-0.13317265
73.80268,0.00000000000029136407,0.6608392,0.000039025606,3.4725866,847.53876,1136.4835,0.004664843,-0.13684858
74.15227,0.00000000000029659784,0.6610575,0.000038933675,3.4625425,848.5555,1134.5631,0.0044614216,-0.13747895
75.00246,0.00000000000028795437,0.65920556,0.000039039114,3.4681706,848.3707,1136.092,0.0046676295,-0.13534181
76.52412,0.0000000000002705916,0.75628126,0.00003556305,3.5642292,851.72595,1167.368,0.0041776663,-0.13434741
76.53791,0.00000000000027049866,0.7563431,0.000035559613,3.5642161,851.7152,1167.3513,0.004111066,-0.13429141
76.66444,0.00000000000026023714,0.7515781,0.000035104695,3.5514777,852.55615,1165.0327,0.005898963,-0.1341035
76.81453,0.00000000000026839268,0.7545239,0.000035591627,3.5596547,852.8234,1165.3242,0.0041843825,-0.13440716
76.97191,0.00000000000026725852,0.7556241,0.00003553973,3.559528,853.30646,1165.1403,0.0042038457,-0.13440256
77.17739,0.00000000000027399936,0.75231016,0.00003534171,3.5619977,851.91364,1165.6472,0.0050428915,-0.13259356
77.29898,0.00000000000027732078,0.7499919,0.000035610705,3.567083,852.84503,1166.4689,0.004709042,-0.13294935
77.300934,0.00000000000027729997,0.7499605,0.00003561158,3.5670226,852.8541,1166.4459,0.004707805,-0.13295089
77.30598,0.00000000000027726286,0.7499526,0.000035611258,3.5669787,852.87244,1166.4196,0.00471532,-0.13295002
77.30598,0.00000000000027726286,0.7499526,0.000035611258,3.5669787,852.87244,1166.4196,0.00471532,-0.13295002
77.30866,0.00000000000027742676,0.749876,0.000035603378,3.5669217,852.8012,1166.2238,0.004802967,-0.1328723
77.3119,0.00000000000027739884,0.7499117,0.00003561178,3.567004,852.876,1166.4204,0.004739042,-0.13293983
77.36853,0.0000000000002724006,0.75187236,0.000035332312,3.5596173,852.7152,1164.5061,0.00508895,-0.13265206
77.369576,0.00000000000027247036,0.7519055,0.000035333065,3.5596704,852.7076,1164.5309,0.0050866236,-0.13264778
77.41274,0.00000000000027186884,0.75051105,0.00003537381,3.5573454,853.0438,1163.591,0.005105825,-0.13273378
77.54663,0.00000000000027521114,0.7481594,0.000035639318,3.5625522,853.9662,1164.397,0.00474323,-0.13310277
77.54877,0.00000000000025161107,0.7496723,0.000035319026,3.5569162,852.18866,1165.2238,0.0058079916,-0.13222758
77.55132,0.00000000000027513888,0.7482282,0.00003563906,3.5623758,853.96295,1164.4056,0.0047776178,-0.13308482
77.55132,0.00000000000027513888,0.7482282,0.00003563906,3.5623758,853.96295,1164.4056,0.0047776178,-0.13308482
77.62306,0.0000000000002746156,0.7487226,0.000035613408,3.5624757,854.20886,1164.2926,0.0047901417,-0.13308367
78.415474,0.0000000000002773563,0.7511613,0.000035458386,3.5642655,854.267,1168.4656,0.0034045833,-0.13520896
78.58679,0.00000000000027742665,0.7497304,0.000036002675,3.5531507,850.74133,1169.1593,0.008369647,-0.13635673
78.68042,0.00000000000027605392,0.74671817,0.00003564833,3.5624146,856.93317,1165.1917,0.004856532,-0.13310786
78.97518,0.00000000000027615714,0.74836284,0.000035646895,3.5662577,856.91907,1166.692,0.0066738343,-0.13301635
79.17428,0.00000000000026480294,0.7495883,0.00003552603,3.5531852,851.7564,1166.2617,0.0025152806,-0.13159102
79.296814,0.0000000000001855496,0.6440034,0.000038627648,3.4108083,874.93976,1096.7643,0.007013765,-0.14175278
79.43206,0.00000000000026960945,0.75349504,0.000035619305,3.5489006,853.71216,1165.0709,0.007410053,-0.13170968
79.932625,0.00000000000035092743,0.67384565,0.000039533043,3.5606506,820.6529,1179.6305,0.004747982,-0.13479736
79.96314,0.00000000000023087497,0.6448382,0.000038960516,3.3907957,874.9335,1094.8134,0.0085475845,-0.13789426
